Player Name,Team,Position,positional_rating,rating_att,att_eff,att_vol,att_raw,rating_blk,blk_eff,blk_vol,blk_raw,rating_serv,serv_eff,serv_vol,serv_raw,rating_set,set_eff,set_vol,set_raw,rating_def,def_eff,def_vol,def_raw,rating_recv,recv_eff,recv_vol,recv_raw
Mohwinkel,GER,LIBERO,32.45,18.03,0.73,0.27,0.17,4.55,0.17,0.11,0.03,2.12,0.04,0.07,0.01,0.11,0.07,0.01,0.0,15.45,0.89,0.29,0.19,25.94,0.31,0.37,0.17
Morteza,IRI,OUTSIDE HITTER,81.85,53.41,0.99,0.58,0.52,12.08,0.17,0.23,0.07,76.22,0.21,0.79,0.31,0.09,0.08,0.01,0.0,23.88,1.19,0.37,0.29,54.88,0.31,0.69,0.36
Možič,SLO,OUTSIDE HITTER,63.63,53.92,0.74,0.66,0.52,31.8,0.23,0.43,0.19,18.01,0.1,0.32,0.07,0.07,0.05,0.01,0.0,23.37,0.8,0.41,0.28,32.47,0.22,0.51,0.21
Muhammed K.,TUR,SETTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mujanović,SLO,OPPOSITE SPIKER,35.71,36.1,0.9,0.44,0.35,7.75,0.14,0.17,0.05,17.42,0.17,0.23,0.07,0.0,0.0,0.0,0.0,12.54,1.7,0.2,0.15,0.0,-0.2,0.0,0.0
Murayama,JPN,MIDDLE BLOCKER,14.76,7.3,1.67,0.09,0.07,12.14,0.25,0.2,0.07,9.35,0.11,0.17,0.04,0.0,0.0,0.0,0.0,2.98,3.0,0.06,0.04,0.0,0.0,0.0,0.0
Nachev,BUL,MIDDLE BLOCKER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Najdič,SLO,SETTER,19.0,0.14,1.0,0.0,0.0,0.95,0.07,0.04,0.01,1.54,0.04,0.06,0.01,19.53,0.31,0.3,0.13,4.54,0.5,0.13,0.06,0.0,0.0,0.0,0.0
Nalozhnyi,UKR,OUTSIDE HITTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,-0.25,0.0,0.0
Nasevich,POL,OPPOSITE SPIKER,12.91,6.51,0.5,0.13,0.06,2.26,0.07,0.08,0.01,22.29,0.29,0.22,0.09,0.0,0.0,0.0,0.0,12.41,3.0,0.17,0.15,2.14,1.0,0.03,0.01
