Player Name,Team,Position,Age,Height,Impact,Attacking Rating,Blocking Rating,Serving Rating,Setting Rating,Defense Rating,Receiving Rating,Running Sets,Setting Errors,Still Sets,Sets Per Match,Successful Receives,Receiving Errors,Service Receptions,Receives Per Match,Aces,Service Errors,Service Attempts,Serves Per Match,Blocks,Blocking Errors,Rebounds,Blocks Per Match,Great Saves,Defensive Errors,Defensive Receptions,Digs Per Match,Kills,Attacking Errors,Attacking Attempts,Attacks Per Match
Flavio,BRA,MIDDLE BLOCKER,32,199cm,49.53,36.93,44.51,1.75,0.03,2.52,0.27,1,1,8,0.07,1,0,3,0.07,3,13,149,0.21,27,64,77,1.93,18,16,22,1.29,80,18,36,5.71
Flexen,USA,OUTSIDE HITTER,23,204cm,7.56,4.79,3.07,16.55,0.0,4.3,0.0,0,0,5,0.0,7,9,29,0.88,4,6,23,0.5,2,4,7,0.25,7,1,5,0.88,16,7,25,2.0
Fornal,POL,OUTSIDE HITTER,28,200cm,48.77,29.38,32.19,16.49,0.05,4.86,36.56,1,0,17,0.14,30,8,69,4.29,5,14,55,0.71,9,15,10,1.29,13,11,14,1.86,42,12,31,6.0
Gajović,SRB,MIDDLE BLOCKER,25,205cm,1.95,0.29,0.0,6.66,0.0,0.0,1.9,0,0,4,0.0,2,0,1,0.17,4,5,49,0.33,0,3,2,0.0,2,4,1,0.17,2,1,2,0.17
Galassi,ITA,MIDDLE BLOCKER,28,201cm,42.15,21.85,43.47,0.58,0.0,2.75,0.0,0,0,4,0.0,0,1,11,0.0,1,10,67,0.09,18,26,26,1.64,10,3,20,0.91,44,10,24,4.0
Gallego,ARG,MIDDLE BLOCKER,28,204cm,19.68,5.13,22.98,0.7,0.0,1.14,0.0,0,0,3,0.0,0,1,10,0.0,1,13,39,0.08,12,18,16,1.0,6,3,11,0.5,18,4,17,1.5
Garcia,CUB,LIBERO,32,175cm,97.13,0.0,0.0,0.0,0.02,71.04,54.53,1,1,42,0.11,59,16,168,6.56,0,0,0,0.0,0,0,0,0.0,67,27,31,7.44,0,0,0,0.0
Garcia,USA,OPPOSITE SPIKER,26,200cm,44.67,34.84,13.52,45.46,0.09,3.38,0.0,2,1,12,0.17,0,1,1,0.0,14,35,71,1.17,9,19,23,0.75,24,23,22,2.0,83,25,60,6.92
Gargiulo,ITA,MIDDLE BLOCKER,26,200cm,50.56,34.06,46.05,5.36,0.08,3.82,0.96,2,0,10,0.13,4,2,12,0.27,6,11,150,0.4,27,53,43,1.8,15,5,17,1.0,69,5,26,4.6
Gasman,USA,MIDDLE BLOCKER,28,208cm,5.7,4.92,0.0,14.55,0.0,0.0,0.0,0,0,1,0.0,0,0,1,0.0,1,5,2,0.25,0,3,1,0.0,2,0,0,0.5,4,0,2,1.0
Georgiev,BUL,MIDDLE BLOCKER,30,206cm,5.46,6.08,3.73,0.0,0.0,1.47,0.0,0,0,0,0.0,0,0,2,0.0,0,4,17,0.0,3,4,5,0.25,4,2,1,0.33,8,0,1,0.67
Giannelli,ITA,SETTER,29,200cm,65.01,2.99,20.39,22.82,57.85,16.85,0.0,350,4,596,23.33,0,0,8,0.0,14,23,147,0.93,16,32,55,1.07,49,27,43,3.27,19,9,24,1.27
Gierżot,POL,OUTSIDE HITTER,23,208cm,28.34,24.39,0.9,21.3,0.26,10.97,16.04,2,0,3,0.25,20,7,58,2.5,5,16,28,0.62,1,9,3,0.12,14,6,6,1.75,40,9,30,5.0
Giraudo,ARG,SETTER,27,196cm,9.42,0.22,4.21,3.42,8.18,0.88,0.0,62,3,161,5.17,0,0,4,0.0,2,7,22,0.17,4,8,17,0.33,5,3,8,0.42,2,0,7,0.17
Gomez,ARG,OPPOSITE SPIKER,22,191cm,46.38,49.6,3.01,35.81,0.0,0.0,0.41,0,0,9,0.0,1,0,3,0.1,9,31,42,0.9,3,21,13,0.3,11,12,11,1.1,86,36,43,8.6
Gomez,CUB,SETTER,26,194cm,43.15,5.9,4.56,17.65,41.92,5.61,0.0,247,2,531,19.0,0,0,3,0.0,10,49,114,0.77,5,18,24,0.38,22,15,25,1.69,16,2,8,1.23
Gomułka,POL,OPPOSITE SPIKER,23,204cm,4.84,6.81,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0,0,0,0.0,0,4,3,0.0,0,1,3,0.0,1,2,1,0.25,7,3,4,1.75
Gonzalez,CUB,OPPOSITE SPIKER,22,207cm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
