Player Name,Team,attacking_Kills,attacking_Attacking Errors,attacking_Attacking Attempts,attacking_Attacks Per Match,blocking_Blocks,blocking_Blocking Errors,blocking_Rebounds,blocking_Blocks Per Match,defense_Great Saves,defense_Defensive Errors,defense_Receptions,defense_Digs Per Match,receiving_Successful Receives,receiving_Receiving Errors,receiving_Service Receptions,receiving_Receives Per Match,serving_Aces,serving_Service Errors,serving_Service Attempts,serving_Serves Per Match,setting_Running Sets,setting_Setting Errors,setting_Still Sets,setting_Sets Per Match
Hamimes,ALG,0,0,2,0.0,0,2,3,0.0,0,4,0,0.0,0,0,0,0.0,0,4,10,0.0,12,0,87,6.0
Hanyong,KOR,8,6,9,4.0,0,3,1,0.0,4,2,0,2.0,3,2,23,1.5,0,5,8,0.5,0,1,7,0.0
Hatipoğlu,TUR,0,0,0,0.0,0,0,0,0.0,0,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
Hazrat,IRI,0,0,0,0.0,0,0,0,0.0,3,4,0,1.5,12,2,15,6.0,0,0,0,0.0,0,0,4,0.0
Henno,FRA,4,2,7,2.0,0,4,5,0.0,2,1,0,1.0,4,1,16,2.0,0,2,5,0.0,0,0,1,0.0
Herr,CAN,0,0,0,0.0,3,4,4,1.0,1,5,0,0.33,0,1,1,0.0,0,5,27,0.33,97,0,83,32.33
Heslinga,CAN,14,4,15,4.67,3,5,4,1.0,6,5,0,2.0,17,2,29,5.67,0,5,25,0.0,0,0,4,0.0
Hfaiedh H.,TUN,0,1,1,0.0,1,0,0,0.5,3,1,0,1.5,3,1,5,1.5,0,0,0,0.0,0,0,2,0.0
Hoag,CAN,32,13,21,10.67,2,7,6,0.67,6,8,0,2.0,15,5,43,5.0,0,7,26,2.33,0,1,13,0.0
Hojin,KOR,3,5,2,1.5,0,0,0,0.0,0,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
Honorato,BRA,4,1,2,2.0,0,0,1,0.0,2,0,0,1.0,2,0,3,1.0,0,0,5,0.0,1,0,1,0.5
