Rank,Player Name,Team,Blocks,Errors,Rebounds,Average Per Match,Efficiency %,Total
11,Kovarik,CZE,0,0,0,,,0
11,Indra,CZE,0,3,6,0.00,-33.33,9
11,Polak,CZE,0,0,0,,,0
11,Benda,CZE,0,0,0,,,0
11,Grebennikov,FRA,0,0,0,,,0
11,Toniutti,FRA,0,0,0,,,0
11,Ngapeth,FRA,0,1,2,0.00,-33.33,3
11,Henno,FRA,0,4,5,0.00,-44.44,9
11,Diez,FRA,0,0,0,,,0
11,Taekeui,KOR,0,3,4,0.00,-42.86,7
11,Taejun,KOR,0,0,0,,,0
11,Jiwon,KOR,0,0,0,,,0
11,Kyeongmin,KOR,0,0,0,,,0
11,Sungjin,KOR,0,0,0,,,0
11,Gyeongbok,KOR,0,1,1,0.00,-50.00,2
11,Hanyong,KOR,0,3,1,0.00,-75.00,4
11,Hojin,KOR,0,0,0,,,0
11,Jihan,KOR,0,0,0,,,0
11,Matheus G.,BRA,0,0,0,,,0
11,Adriano,BRA,0,0,0,,,0
11,Matheus,BRA,0,0,0,,,0
11,Honorato,BRA,0,0,1,0.00,0.00,1
11,Fernando,BRA,0,2,3,0.00,-40.00,5
11,Maique,BRA,0,0,0,,,0
11,L. Bergmann,BRA,0,0,0,,,0
11,Chizoba,BRA,0,0,0,,,0
11,Darlan,BRA,0,2,0,0.00,-100.00,2
11,Wen Z. H.,CHN,0,2,3,0.00,-40.00,5
11,Wang H.B.,CHN,0,1,0,0.00,-100.00,1
11,Yu Y.C.,CHN,0,2,4,0.00,-33.33,6
11,Ji D.S.,CHN,0,0,0,,,0
11,Zhang Z.J.,CHN,0,2,3,0.00,-40.00,5
11,Qu Z.S.,CHN,0,0,0,,,0
11,Wang B.,CHN,0,1,2,0.00,-33.33,3
11,Li T. Y.,CHN,0,0,0,,,0
11,Balaso,ITA,0,0,0,,,0
11,Sani,ITA,0,0,0,,,0
11,Romanò,ITA,0,7,5,0.00,-58.33,12
11,Pace,ITA,0,0,0,,,0
11,Porro L.,ITA,0,0,0,,,0
11,Arab,ALG,0,1,0,0.00,-100.00,1
11,Zerouka,ALG,0,0,0,,,0
11,Kadri,ALG,0,0,0,,,0
11,Chikhi,ALG,0,3,3,0.00,-50.00,6
11,Bourouba,ALG,0,1,1,0.00,-50.00,2
11,Dekkiche A,ALG,0,0,0,,,0
11,Abi Ayad,ALG,0,0,0,,,0
11,Farouk,ALG,0,0,1,0.00,0.00,1
11,Hamimes,ALG,0,2,3,0.00,-40.00,5
